	zero	Kinesis	telicity	durative	affirmation	mode	P_affectedness	P_definiteness	P_animacy	P_concreteness	A_definite	A_animacy	A_number	clause	corpus
dibuat	oleh	1	1	1	1	1	1	1	0	1	1	0	7	main	kompas
diberikan	oleh	1	1	1	1	0	0	0	0	0	0	1	3	relative	web
digunakan	oleh	1	0	1	1	1	0	0	0	0	0	1	2	relative	web
dilakukan	oleh	1	0	1	1	1	0	0	0	1	0	1	1	relative	web
dibuat	oleh	1	1	1	1	1	1	0	0	1	0	0	3	relative	kompas
diberikan	oleh	1	1	1	1	1	0	0	0	0	1	1	1	main	web
ditemukan	zero	1	1	0	1	1	0	0	0	0	0	1	5	main	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	7	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	1	relative	kompas
dikatakan	zero	1	1	1	1	1	0	0	0	0	1	1	6	main	kompas
dilakukan	oleh	1	0	1	1	1	0	1	0	0	0	1	5	sub	kompas
diberikan	zero	1	1	0	0	0	0	0	0	0	0	0	2	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	2	relative	web
diberikan	zero	1	1	1	1	1	0	0	0	0	1	0	2	relative	kompas
diberikan	zero	1	1	0	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	0	2	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	0	1	7	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	3	main	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	3	relative	kompas
dilakukan	oleh	1	1	0	1	1	0	0	0	0	1	0	3	relative	web
diberikan	zero	1	1	1	1	0	0	0	0	0	0	0	1	main	web
dibuat	zero	1	1	1	1	1	1	0	0	0	0	1	4	relative	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	1	1	relative	kompas
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	1	relative	web
dilakukan	oleh	1	0	1	1	0	0	0	0	0	1	1	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	1	0	0	1	1	1	relative	web
digunakan	zero	1	0	1	1	1	0	1	0	1	1	0	3	sub	kompas
dilakukan	oleh	0	0	1	1	1	0	1	0	0	0	1	5	relative	web
dibuat	zero	1	1	0	1	1	1	0	0	0	0	0	0	relative	kompas
diberikan	oleh	1	1	1	1	1	0	1	0	0	0	1	1	relative	web
dilakukan	zero	1	0	1	1	1	0	1	0	0	0	1	1	main	kompas
dibuat	oleh	1	1	1	1	1	1	0	0	1	0	1	3	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	4	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	kompas
digunakan	oleh	1	0	1	1	1	0	0	0	0	1	0	1	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	1	2	man	web
digunakan	zero	1	0	1	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	1	main	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	0	1	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	0	2	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	2	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	1	2	relative	web
dilakukan	zero	1	1	0	1	1	0	1	0	0	1	0	1	relative	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	1	relative	web
dilakukan	zero	1	0	1	1	1	0	1	0	0	0	1	2	sub	kompas
